ID,Name,Category,Cuisine,Level,Lat,Lng
SCC-01,Din Tai Fung,Casual,Taiwanese,Level 2,14.6565,121.0315
SCC-02,Tim Ho Wan,Casual,HK Dimsum,Upper Ground,14.6561,121.0319
SCC-03,Marugame Udon,Fast Casual,Japanese,Upper Ground,14.6563,121.0317
SCC-04,Panda Express,Fast Casual,Chinese-American,Upper Ground,14.6562,121.0312
SCC-05,Frankie's NY Buffalo Wings,Casual,American,Upper Ground,14.6568,121.0315
SCC-06,Genki Sushi,Casual,Japanese,Upper Ground,14.6561,121.0319
SCC-07,Nanyang,Casual,Singaporean,Level 2,14.6566,121.031
SCC-08,Mesa,Casual,Filipino,Level 2,14.6564,121.0318
SCC-09,Ramen Kuroda,Casual,Japanese,Level 2,14.6567,121.0321
SCC-10,Classic Savory,Casual,Filipino-Chinese,Level 2,14.656,121.0314
SCC-11,Gerry's Grill,Casual,Filipino,Level 2,14.6564,121.0318
SCC-12,Max's Restaurant,Casual,Filipino,Level 2,14.6562,121.0316
SCC-13,Pho Hoa,Casual,Vietnamese,Level 2,14.6569,121.032
SCC-14,Botejyu,Casual,Japanese,Level 2,14.6568,121.0322
SCC-15,RACKS,Casual,American BBQ,Level 3,14.657,121.0325
SCC-16,Peri-Peri Charcoal Chicken,Casual,Portuguese/Western,Level 3,14.6572,121.0328
SCC-17,Hap Chan,Casual,Chinese,Level 2,14.6561,121.0311
SCC-18,Mann Hann,Casual,Chinese,Level 2,14.6563,121.0313
SCC-19,Fat Fook,Casual,Taiwanese,Upper Ground,14.6565,121.0312
SCC-20,Pepper Lunch,Fast Casual,Japanese,Upper Ground,14.6567,121.0314
