ID,Name,Category,Cuisine,Level,Lat,Lng
SSG-01,Gerry's Restaurant & Bar,Casual,Filipino,Level 2,14.6558,121.0334
SSG-02,Giligan's Island,Restobar,Filipino,Level 2,14.6554,121.033
SSG-03,Banapple,Cafe/Bakery,American/Filipino,Level 2,14.6559,121.0335
SSG-04,Turks,Fast Casual,Middle Eastern,Level 2,14.656,121.0332
SSG-05,Chill Bar,Restobar,Filipino/Grill,Level 2,14.6562,121.0336
SSG-06,J.CO Donuts & Coffee,Cafe,International,Level 2,14.655,121.0326
SSG-07,Starbucks,Cafe,International,Level 2,14.6557,121.0328
SSG-08,Bo's Coffee,Cafe,Filipino,Level 2,14.6552,121.0324
SSG-09,Above Sea Level,Casual,Seafood,Level 2,14.6565,121.0338
SSG-10,Grape Escape,Restobar,Italian/Fusion,Level 2,14.6563,121.0337
SSG-11,ArmyNavy,Fast Casual,American/Mexican,Level 2,14.6561,121.0331
SSG-12,Yellow Cab Pizza Co.,Casual,American,Level 2,14.6556,121.0329
SSG-13,Coco Fresh Tea & Juice,Cafe,Taiwanese,Level 2,14.6553,121.0325
SSG-14,Chatime,Cafe,Taiwanese,Level 2,14.6555,121.0327
SSG-15,Kettle Korn,Snack,Popcorn,Level 2,14.6564,121.0339
