ID,Name,Category,Cuisine,Level,Lat,Lng
STB-01,Vikings Luxury Buffet,Buffet,International,Level 4,14.657,121.0321
STB-02,Tong Yang Plus,Buffet,Chinese/Asian,Level 3,14.6568,121.0318
STB-03,Amici,Casual,Italian,Ground,14.6572,121.0325
STB-04,Manam,Casual,Modern Filipino,Level 2,14.6571,121.0323
STB-05,Gringo,Casual,Latin American,Level 3,14.6569,121.0322
STB-06,Maisen,Casual,Japanese/Katsu,Level 4,14.6567,121.032
STB-07,Tuan Tuan Kitchen,Casual,Chinese/HK,Level 3,14.6573,121.0326
STB-08,Mary Grace Cafe,Cafe,Filipino/Pastry,Level 2,14.6574,121.0324
STB-09,Yabu: House of Katsu,Casual,Japanese,Level 2,14.6572,121.0329
STB-10,Lugang Cafe,Casual,Taiwanese,Level 2,14.6575,121.033
STB-11,Puffy's Soufflé Pancake,Cafe,Japanese Dessert,Level 4,14.6566,121.0321
STB-12,Mr. Chops,Fast Casual,Asian/Chicken,Level 4,14.6565,121.0319
STB-13,Easy Tiger,Fast Casual,Thai,Level 4,14.6568,121.0317
STB-14,Sea Salt,Casual,Seafood,Level 4,14.6569,121.0315
STB-15,Yogorino,Dessert,Italian Yogurt,Level 4,14.657,121.0316
STB-16,The Coffee Bean & Tea Leaf,Cafe,International,Level 2,14.6573,121.0322
STB-17,Subway,Fast Food,American,Ground,14.6571,121.0324
STB-18,Kenangan Coffee,Cafe,Indonesian,Level 4,14.6574,121.0318
STB-19,Nords Bread Hub,Bakery/Cafe,European/Asian,Level 3,14.6567,121.0325
STB-20,Seoul Good,Casual,Korean,Level 4,14.6566,121.0314
