ID,Name,Category,Cuisine,Level,Lat,Lng
AVN-01,Mama Lou's Italian Kitchen,Casual,Italian,Level 1,14.6542,121.0345
AVN-02,Ippudo,Casual,Japanese/Ramen,Level 1,14.6544,121.0343
AVN-03,Single Origin,Cafe/Bistro,Western,Level 1,14.6541,121.0342
AVN-04,Meat Depot,Casual/Paluto,Steakhouse,Level 1,14.654,121.0341
AVN-05,Cibo,Casual,Italian,Level 1,14.6542,121.0344
AVN-06,Mantra Indian Cuisine,Casual,Indian,Level 2,14.6545,121.0347
AVN-07,Crisostomo,Casual,Filipino,Level 1,14.6539,121.034
AVN-08,Asakusa: Home of Tempura,Casual,Japanese,Level 2,14.6544,121.0345
AVN-09,Yabu: House of Katsu,Casual,Japanese,Level 1,14.6541,121.0342
AVN-10,CoCo Ichibanya,Casual,Japanese Curry,Level 4,14.6543,121.0344
AVN-11,Barcino,Restobar,Spanish,Level 1,14.6546,121.0347
AVN-12,Wang Fu Chinese Café,Casual,Chinese,Level 1,14.6545,121.0346
AVN-13,Katherine's Cafe,Cafe,Western Variety,Level 1,14.6545,121.0346
AVN-14,Nabe Japanese Izakaya,Casual,Japanese Hotpot,Level 4,14.6548,121.0349
AVN-15,The Matcha Tokyo,Cafe,Japanese,Level 1,14.654,121.0341
AVN-16,UCC Clockwork,Cafe,Japanese/Western,Level 1,14.6542,121.0343
AVN-17,MOS Burger,Fast Food,Japanese,Level 1,14.6543,121.0344
AVN-18,Pound,Casual,American/Burgers,Level 1,14.6541,121.0342
AVN-19,La Creperie,Cafe,French,Level 2,14.6542,121.0343
AVN-20,Sam Stew,Casual,Korean,Level 2,14.6546,121.0348
AVN-21,Japan Fudo Street,Food Hall,Japanese Variety,Level 4,14.6547,121.0349
AVN-22,Botejyu,Casual,Japanese,Level 4,14.6544,121.0345
AVN-23,Paper Moon Cafe,Cafe,Japanese/Dessert,Level 1,14.6545,121.0346
AVN-24,Manila Creamery,Dessert,Filipino Gelato,Level 1,14.6541,121.0342
AVN-25,Misto (Seda),Buffet,International,Hotel (Seda),14.6548,121.0349
